symbol,total_bars,opening_bars,history_bars,today_time,avg_range,avg_volume,status
ABB,501,21,20,2025-07-23 09:15:00,54.4,23723.25,included
ADANIENSOL,501,21,20,2025-07-23 09:15:00,8.215000000000003,109999.55,included
ADANIENT,501,21,20,2025-07-23 09:15:00,19.395000000000074,64500.9,included
ADANIGREEN,501,21,20,2025-07-23 09:15:00,11.38,254842.65,included
ADANIPORTS,501,21,20,2025-07-23 09:15:00,10.039999999999997,101174.55,included
AMBUJACEM,501,21,20,2025-07-23 09:15:00,4.835000000000013,147531.0,included
APOLLOHOSP,501,21,20,2025-07-23 09:15:00,59.55,54739.0,included
ASIANPAINT,501,21,20,2025-07-23 09:15:00,21.010000000000012,121680.25,included
AXISBANK,501,21,20,2025-07-23 09:15:00,10.720000000000027,943271.55,included
BAJAJ-AUTO,501,21,20,2025-07-23 09:15:00,65.0,22736.1,included
BAJAJFINSV,501,21,20,2025-07-23 09:15:00,20.425000000000047,87425.0,included
BAJFINANCE,501,21,20,2025-07-23 09:15:00,11.357499999999998,685271.25,included
BANKBARODA,501,21,20,2025-07-23 09:15:00,2.6384999999999934,837031.35,included
BEL,501,21,20,2025-07-23 09:15:00,3.887499999999986,2101726.35,included
BHARTIARTL,501,21,20,2025-07-23 09:15:00,15.095000000000017,459718.75,included
BOSCHLTD,501,21,20,2025-07-23 09:15:00,383.25,5191.7,included
BPCL,501,21,20,2025-07-23 09:15:00,4.007499999999996,580829.75,included
BRITANNIA,501,21,20,2025-07-23 09:15:00,49.325,13464.4,included
CANBK,501,21,20,2025-07-23 09:15:00,1.2734999999999992,2185654.5,included
CGPOWER,501,21,20,2025-07-23 09:15:00,7.775,300555.6,included
CHOLAFIN,501,21,20,2025-07-23 09:15:00,20.74500000000004,150097.35,included
CIPLA,501,21,20,2025-07-23 09:15:00,11.490000000000009,91281.2,included
COALINDIA,501,21,20,2025-07-23 09:15:00,2.3499999999999885,349225.35,included
DABUR,501,21,20,2025-07-23 09:15:00,4.562499999999991,193500.45,included
DIVISLAB,501,21,20,2025-07-23 09:15:00,59.5,32836.05,included
DLF,501,21,20,2025-07-23 09:15:00,7.1875,292791.8,included
DMART,501,21,20,2025-07-23 09:15:00,51.80499999999995,65667.65,included
DRREDDY,501,21,20,2025-07-23 09:15:00,11.044999999999993,95846.45,included
EICHERMOT,501,21,20,2025-07-23 09:15:00,43.8,28047.0,included
ETERNAL,501,21,20,2025-07-23 09:15:00,3.4330000000000025,3117347.8,included
GAIL,501,21,20,2025-07-23 09:15:00,1.6309999999999945,914018.25,included
GODREJCP,501,21,20,2025-07-23 09:15:00,12.975000000000012,144621.55,included
GRASIM,501,21,20,2025-07-23 09:15:00,20.375,39558.1,included
HAL,501,21,20,2025-07-23 09:15:00,45.26500000000001,154466.85,included
HAVELLS,501,21,20,2025-07-23 09:15:00,15.485000000000003,81517.9,included
HCLTECH,501,21,20,2025-07-23 09:15:00,17.49000000000002,375766.0,included
HDFCBANK,501,21,20,2025-07-23 09:15:00,13.855000000000008,772433.1,included
HDFCLIFE,501,21,20,2025-07-23 09:15:00,8.802500000000004,302330.65,included
HEROMOTOCO,501,21,20,2025-07-23 09:15:00,46.79999999999986,55175.65,included
HINDALCO,501,21,20,2025-07-23 09:15:00,5.902500000000009,381761.0,included
HINDUNILVR,501,21,20,2025-07-23 09:15:00,19.345000000000006,164880.1,included
ICICIBANK,501,21,20,2025-07-23 09:15:00,9.40500000000004,685192.45,included
ICICIGI,501,21,20,2025-07-23 09:15:00,17.690000000000033,51827.9,included
ICICIPRULI,501,21,20,2025-07-23 09:15:00,8.14749999999999,160191.7,included
INDHOTEL,501,21,20,2025-07-23 09:15:00,6.677500000000014,289807.7,included
INDIGO,501,21,20,2025-07-23 09:15:00,61.025,91194.05,included
INDUSINDBK,501,21,20,2025-07-23 09:15:00,12.802499999999998,618838.95,included
INFY,501,21,20,2025-07-23 09:15:00,15.850000000000033,684276.2,included
IOC,501,21,20,2025-07-23 09:15:00,1.5584999999999951,1518084.55,included
IRFC,501,21,20,2025-07-23 09:15:00,1.3245000000000005,1213010.7,included
ITC,501,21,20,2025-07-23 09:15:00,1.7449999999999903,470655.95,included
