symbol,total_bars,opening_bars,history_bars,today_time,avg_range,avg_volume,status
JINDALSTEL,501,21,20,2025-07-23 09:15:00,9.552499999999991,140889.15,included
JIOFIN,501,21,20,2025-07-23 09:15:00,3.2625,2805891.55,included
JSWENERGY,501,21,20,2025-07-23 09:15:00,5.6775,382970.95,included
JSWSTEEL,501,21,20,2025-07-23 09:15:00,10.275000000000006,157935.85,included
KOTAKBANK,501,21,20,2025-07-23 09:15:00,19.935000000000127,295759.85,included
LICI,501,21,20,2025-07-23 09:15:00,6.655000000000013,87664.4,included
LODHA,501,21,20,2025-07-23 09:15:00,17.869999999999983,99849.0,included
LT,501,21,20,2025-07-23 09:15:00,26.16999999999998,105357.3,included
LTIM,501,21,20,2025-07-23 09:15:00,58.225,32796.6,included
M&M,501,21,20,2025-07-23 09:15:00,37.15,184241.6,included
MARUTI,501,21,20,2025-07-23 09:15:00,91.45,18465.65,included
MOTHERSON,501,21,20,2025-07-23 09:15:00,1.0869999999999997,1168298.7,included
NAUKRI,501,21,20,2025-07-23 09:15:00,17.945000000000004,103450.25,included
NESTLEIND,501,21,20,2025-07-23 09:15:00,18.420000000000027,45264.15,included
NIFTY 50,501,21,20,2025-07-23 09:15:00,76.43250000000008,0.0,included
NIFTY BANK,501,21,20,2025-07-23 09:15:00,212.69500000000008,0.0,included
NTPC,501,21,20,2025-07-23 09:15:00,2.189999999999995,552437.2,included
ONGC,501,21,20,2025-07-23 09:15:00,1.6430000000000007,652293.55,included
PFC,501,21,20,2025-07-23 09:15:00,3.719999999999996,624269.35,included
PIDILITIND,501,21,20,2025-07-23 09:15:00,19.78000000000004,15489.85,included
PNB,501,21,20,2025-07-23 09:15:00,1.1670000000000003,2652491.2,included
POWERGRID,501,21,20,2025-07-23 09:15:00,2.419999999999996,586581.4,included
RECLTD,501,21,20,2025-07-23 09:15:00,3.4775000000000005,712007.05,included
RELIANCE,501,21,20,2025-07-23 09:15:00,10.82000000000004,775196.3,included
SBILIFE,501,21,20,2025-07-23 09:15:00,16.02000000000004,54138.15,included
SBIN,501,21,20,2025-07-23 09:15:00,5.090000000000003,1183713.1,included
SHREECEM,501,21,20,2025-07-23 09:15:00,279.5,2047.85,included
SHRIRAMFIN,501,21,20,2025-07-23 09:15:00,8.284999999999997,582927.8,included
SIEMENS,501,21,20,2025-07-23 09:15:00,38.38000000000004,65266.15,included
SUNPHARMA,501,21,20,2025-07-23 09:15:00,14.829999999999995,160250.1,included
TATACONSUM,501,21,20,2025-07-23 09:15:00,10.950000000000045,56192.65,included
TATAMOTORS,501,21,20,2025-07-23 09:15:00,5.807500000000016,841545.55,included
TATAPOWER,501,21,20,2025-07-23 09:15:00,3.6999999999999886,682340.2,included
TATASTEEL,501,21,20,2025-07-23 09:15:00,1.745499999999997,2946611.9,included
TCS,501,21,20,2025-07-23 09:15:00,24.260000000000037,316727.95,included
TECHM,501,21,20,2025-07-23 09:15:00,17.78000000000004,310356.85,included
TITAN,501,21,20,2025-07-23 09:15:00,29.12500000000002,119059.35,included
TORNTPHARM,501,21,20,2025-07-23 09:15:00,41.254999999999995,91040.8,included
TRENT,501,21,20,2025-07-23 09:15:00,53.45,124928.05,included
TVSMOTOR,501,21,20,2025-07-23 09:15:00,25.690000000000033,46641.25,included
ULTRACEMCO,501,21,20,2025-07-23 09:15:00,95.8,19640.8,included
UNITDSPR,501,21,20,2025-07-23 09:15:00,11.740000000000009,103941.4,included
VBL,501,21,20,2025-07-23 09:15:00,4.522500000000011,639367.0,included
VEDL,501,21,20,2025-07-23 09:15:00,4.707499999999996,881329.85,included
WIPRO,501,21,20,2025-07-23 09:15:00,3.359000000000003,1605718.6,included
ZYDUSLIFE,501,21,20,2025-07-23 09:15:00,8.770000000000005,68705.05,included
