fast,mid1,mid2,mid3,sharpe,expectancy,trades,win_rate
180,240,360,720,0.010771,1.632809,116,43.97
180,240,360,480,-0.001087,-0.212768,158,35.44
150,210,300,480,-0.004569,-0.570927,172,34.88
