dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,atr_pct,mae_abs,mae_pct,mfe_abs,mfe_pct,ret_pct,symbol,period_label,fast,mid1,mid2,mid3
2024-12-30 12:52:00,2024-12-31 11:22:00,1216.35,1214.0,-390.51259916964693,SELL,917.7046080486348,727.8881489702445,285,1,0.7228308074849308,0.0005942621839807053,0.6000000000001364,1.2631578947371293e-06,10.199999999999818,2.1473684210525933e-05,0.0015323961030952516,RELIANCE,Jan-2025,220,440,800,1600
2024-12-31 11:39:00,2025-01-03 14:45:00,1212.45,1253.3,392.3390603666309,BUY,16027.050615976837,15833.568608357033,1311,2,0.8188597980006818,0.0006753761375732456,2.400000000000091,5.045286770051407e-06,49.59999999999991,0.0001042692599143916,0.03328537259268416,RELIANCE,Jan-2025,220,440,800,1600
2025-01-03 15:10:00,2025-01-07 10:35:00,1250.85,1240.7,-392.31992958345205,SELL,3982.047285271985,3786.550341161255,475,3,1.131522489638894,0.000904602861765115,11.150000000000091,2.2721095334793904e-05,35.84999999999991,7.30539253589554e-05,0.007716105048566866,RELIANCE,Jan-2025,220,440,800,1600
2025-01-07 10:36:00,2025-01-09 09:29:00,1242.8,1260.95,397.7555574055069,BUY,7219.263366909987,7020.08727153918,683,4,1.3836587917057368,0.0011133398710216744,6.2000000000000455,1.2542213481060704e-05,28.25,5.7147988845155214e-05,0.014201198905696889,RELIANCE,Jan-2025,220,440,800,1600
2025-01-09 10:39:00,2025-01-10 14:00:00,1259.55,1251.5,-397.76085876029236,SELL,3201.9749130203354,3002.215432142329,576,5,1.1683301512368884,0.0009275774294286757,3.9500000000000455,7.88423642087981e-06,23.549999999999955,4.7006017142206854e-05,0.005992449684411064,RELIANCE,Jan-2025,220,440,800,1600
2025-01-10 14:13:00,2025-01-10 14:24:00,1243.6,1241.6,405.1558333162282,BUY,-810.3116666324564,-1011.6903220239544,11,6,0.9579002571895496,0.0007702639572125681,2.3999999999998636,4.763305454288845e-06,0.3000000000001819,5.954131817865006e-07,-0.002007912512061756,RELIANCE,Jan-2025,220,440,800,1600
2025-01-10 14:44:00,2025-01-13 11:55:00,1241.3,1237.65,-405.132271413952,SELL,1478.7327906608696,1277.8722618165461,206,7,1.0951401648923045,0.0008822526100800004,4.25,8.451140769030409e-06,14.899999999999864,2.962870528436516e-05,0.00254105373398845,RELIANCE,Jan-2025,220,440,800,1600
2025-01-13 12:12:00,2025-01-14 11:07:00,1240.3,1235.0,406.43769019984217,BUY,-2154.119758059145,-2355.3308009694792,310,8,0.7641229599040854,0.0006160791420656981,8.299999999999955,1.6464834667857064e-05,13.049999999999955,2.5887481013919893e-05,-0.0046723050874788,RELIANCE,Jan-2025,220,440,800,1600
2025-01-14 11:41:00,2025-01-14 14:07:00,1231.65,1233.9,-407.47542150281595,SELL,-916.8196983813359,-1117.7499034785894,146,9,0.7553737031272205,0.0006133022393758133,3.1499999999998636,6.276562025755123e-06,4.400000000000091,8.767261242325177e-06,-0.002227183047131896,RELIANCE,Jan-2025,220,440,800,1600
2025-01-14 14:08:00,2025-01-16 15:24:00,1234.4,1266.5,405.7074210026237,BUY,13023.208214184184,12820.281476347092,826,10,0.5839628395128469,0.0004730742381017878,4.900000000000091,9.784242663372459e-06,33.25,6.639307521574046e-05,0.02559933570965644,RELIANCE,Jan-2025,220,440,800,1600
2025-01-17 09:20:00,2025-01-17 15:24:00,1300.5,1301.75,394.45175539267086,BUY,493.06469424083855,287.772278146723,364,11,5.048905123218296,0.0038822799870959603,15.5,3.0215337425704536e-05,6.4500000000000455,1.2573479122309396e-05,0.0005609765474817378,RELIANCE,Jan-2025,220,440,800,1600
2025-01-17 15:25:00,2025-01-20 09:59:00,1301.95,1313.45,-394.222429088988,SELL,-4533.557934523362,-4739.7678027312295,49,12,0.6706845578571083,0.0005151384906156982,11.599999999999909,2.2600724101707167e-05,2.900000000000091,5.650181025427013e-06,-0.0092346710703176,RELIANCE,Jan-2025,220,440,800,1600
2025-01-20 11:15:00,2025-01-22 14:02:00,1308.9,1273.3,-388.6890611504418,SELL,13837.330576955781,13636.595998215247,917,13,0.9396602070045261,0.000717900685311732,4.099999999999909,8.058887079788536e-06,40.200000000000045,7.901640502622116e-05,0.02680385056154033,RELIANCE,Jan-2025,220,440,800,1600
2025-01-22 14:20:00,2025-01-23 13:10:00,1275.8,1265.2,408.9276362581265,BUY,-4334.632944336104,-4542.449969082483,305,14,0.9025143920102003,0.000707410559656843,11.75,2.252209606885166e-05,4.0,7.66709653407716e-06,-0.008706850603542805,RELIANCE,Jan-2025,220,440,800,1600
2025-01-23 13:11:00,2025-01-23 15:19:00,1265.25,1263.15,-408.9267345326927,SELL,858.7461425186175,651.9600714001253,128,15,0.7044661348321319,0.000556780189553157,0.650000000000091,1.2562946380286932e-06,3.650000000000091,7.054577582775697e-06,0.0012600829875517952,RELIANCE,Jan-2025,220,440,800,1600
2025-01-24 09:20:00,2025-01-24 10:35:00,1271.7,1256.9,407.3397129317602,BUY,-6028.627751390032,-6234.627591013882,75,16,1.4706357199058506,0.0011564329007673591,16.600000000000136,3.204547133866819e-05,1.099999999999909,2.123495088706735e-06,-0.012035637335849614,RELIANCE,Jan-2025,220,440,800,1600
2025-01-24 10:36:00,2025-01-27 12:52:00,1258.65,1231.6,-406.8573604448069,SELL,11005.4916000321,10802.856291662565,511,17,1.1807538937164404,0.0009381113841945261,1.7999999999999545,3.515000148832136e-06,38.65000000000009,7.547486430686989e-05,0.02109557859611503,RELIANCE,Jan-2025,220,440,800,1600
2025-01-27 12:56:00,2025-01-28 10:19:00,1229.8,1219.6,424.74689396725944,BUY,-4332.418318466066,-4540.493326882747,218,18,0.992805474315389,0.0008072901889050163,11.299999999999955,2.163285020603403e-05,8.200000000000045,1.5698174485794758e-05,-0.008692372743535574,RELIANCE,Jan-2025,220,440,800,1600
2025-01-28 11:11:00,2025-01-29 14:39:00,1229.9,1235.5,421.205188666068,BUY,2358.7490565299427,2151.0612021024776,583,19,1.1496010679935809,0.0009347110073937563,1.8500000000001364,3.5711510037832696e-06,14.849999999999909,2.866572562496071e-05,0.0041523050654524015,RELIANCE,Jan-2025,220,440,800,1600
2025-01-29 14:40:00,2025-01-30 10:25:00,1235.0,1245.4,-421.120461281291,SELL,-4379.652797325465,-4588.562235757888,120,20,1.056688630688202,0.0008556183244438883,10.900000000000091,2.095816219501816e-05,2.599999999999909,4.999194652022464e-06,-0.008822736842105336,RELIANCE,Jan-2025,220,440,800,1600
2025-01-30 10:26:00,2025-01-30 14:36:00,1244.35,1247.45,414.45303617022904,BUY,1284.8044121277665,1078.2575970219712,250,21,1.03229155618587,0.0008295829599275688,2.349999999999909,4.556695255512351e-06,12.650000000000091,2.4528593609461227e-05,0.002090762245349087,RELIANCE,Jan-2025,220,440,800,1600
2025-01-30 14:47:00,2025-01-30 15:23:00,1251.8,1253.7,-412.8047453871188,SELL,-784.3290162355634,-991.1854741490486,36,22,1.1067266199251586,0.0008841081801606956,3.1000000000001364,5.999044252292144e-06,3.7999999999999545,7.353667147970603e-06,-0.0019181179102093714,RELIANCE,Jan-2025,220,440,800,1600
2025-01-30 12:25:00,2025-01-30 14:36:00,1254.8,1247.45,378.54638189352886,BUY,-2782.3159069174026,-2971.759443736019,131,23,1.1575420507450223,0.0009224912741034605,9.75,2.0526315789473685e-05,2.2000000000000455,4.631578947368517e-06,-0.006256335671023198,RELIANCE,Feb-2025,220,440,800,1600
2025-01-30 14:47:00,2025-01-30 15:23:00,1251.8,1253.7,-377.1982972746851,SELL,-716.676764821936,-905.6908315862806,36,24,1.1067266199251586,0.0008841081801606956,3.1000000000001364,6.565336993899834e-06,3.7999999999999545,8.04783244413483e-06,-0.0019181179102093712,RELIANCE,Feb-2025,220,440,800,1600
2025-01-31 10:15:00,2025-01-31 14:22:00,1253.65,1258.75,375.9553481740868,BUY,1917.3722756878085,1728.4622323372932,247,25,1.174915822581426,0.0009371960456119538,0.8000000000001819,1.6973734889200476e-06,12.699999999999818,2.6945804136599245e-05,0.003667307462210273,RELIANCE,Feb-2025,220,440,800,1600
2025-01-31 14:23:00,2025-02-01 09:46:00,1259.7,1267.5,-375.4532518529526,SELL,-2928.5353644530132,-3118.30445606957,98,26,0.9254418548215638,0.0007346525798377104,10.849999999999909,2.294070385974219e-05,2.2000000000000455,4.651571289533113e-06,-0.006593188854489129,RELIANCE,Feb-2025,220,440,800,1600
2025-02-01 09:48:00,2025-02-01 10:36:00,1268.95,1265.95,370.38186857314963,BUY,-1111.145605719449,-1298.9218054486644,48,27,1.238759504838275,0.0009762082862510539,6.7999999999999545,1.4468206019769528e-05,0.5,1.0638386779242371e-06,-0.0027636865124709403,RELIANCE,Feb-2025,220,440,800,1600
2025-02-01 11:11:00,2025-02-01 15:25:00,1263.45,1265.35,-371.0175285216843,SELL,-704.9333041911495,-892.5791294162766,254,28,1.4753107398304282,0.0011676843087027014,4.75,1.013307184256238e-05,22.450000000000045,4.7892097445373874e-05,-0.0019041196723256666,RELIANCE,Feb-2025,220,440,800,1600
2025-02-01 15:26:00,2025-02-03 09:25:00,1265.15,1248.5,369.8487501385421,BUY,-6157.981689806759,-6343.915751963908,14,29,0.6345103883094362,0.000501529769837123,19.100000000000136,4.081945406774308e-05,0.09999999999990905,2.1371441920264743e-07,-0.01355786270402726,RELIANCE,Feb-2025,220,440,800,1600
2025-02-03 09:55:00,2025-02-04 09:36:00,1238.65,1252.65,-372.89583520236613,SELL,-5220.541692833126,-5406.340771681057,356,30,1.4812951554469864,0.0011958948495918833,17.34999999999991,3.75632654475632e-05,0.4500000000000455,9.742633689570742e-07,-0.011704888386549872,RELIANCE,Feb-2025,220,440,800,1600
2025-02-04 09:37:00,2025-02-05 12:14:00,1252.9,1281.2,364.55535361187145,BUY,10316.916507215945,10132.152562898376,532,31,1.1900418536406228,0.0009498298775964743,0.0,0.0,37.59999999999991,8.232049160852059e-05,0.02218307925612575,RELIANCE,Feb-2025,220,440,800,1600
2025-02-05 12:15:00,2025-02-10 14:44:00,1281.9,1250.45,-363.8169494305853,SELL,11442.043059591924,11257.780689213816,1274,32,0.4521808507893804,0.0003527426872528125,6.099999999999909,1.3079548706309113e-05,36.350000000000136,7.79412451597287e-05,0.024138801778609914,RELIANCE,Feb-2025,220,440,800,1600
2025-02-10 14:45:00,2025-02-11 13:25:00,1250.1,1236.0,381.6269411485645,BUY,-5380.939870194725,-5570.692417872614,295,33,0.7347616567396952,0.0005877623044074036,16.09999999999991,3.374753795857313e-05,14.450000000000045,3.0288939347912174e-05,-0.011676841852651715,RELIANCE,Feb-2025,220,440,800,1600
2025-02-11 13:26:00,2025-02-12 12:50:00,1236.1,1214.6,-381.6678920255979,SELL,8205.859678550354,8018.788977952928,339,34,1.4595638524655743,0.0011807813708159328,2.4500000000000455,5.1931019858219915e-06,42.75,9.061433056893306e-05,0.01699689345522207,RELIANCE,Feb-2025,220,440,800,1600
2025-02-12 13:36:00,2025-02-14 11:14:00,1217.0,1210.5,393.91744524395784,BUY,-2560.463394085726,-2751.710313751668,608,35,1.0976037972870913,0.0009018930133829838,10.599999999999909,2.2111085931006857e-05,11.0,2.2945466532177122e-05,-0.005739934264585046,RELIANCE,Feb-2025,220,440,800,1600
2025-02-14 11:15:00,2025-02-14 14:52:00,1210.35,1215.15,-393.92192842056653,SELL,-1890.825256418791,-2081.9167838956078,217,36,1.1967461462631064,0.0009887603967968822,5.550000000000182,1.1640505792387283e-05,4.899999999999864,1.0277203312197158e-05,-0.004366588176973753,RELIANCE,Feb-2025,220,440,800,1600
2025-02-14 14:53:00,2025-02-18 10:55:00,1216.75,1220.7,390.2244381500981,BUY,1541.3865306929051,1351.1560193391138,512,37,1.2434823282801777,0.0010219702718554985,12.25,2.5800033495659903e-05,13.150000000000091,2.7695546160647352e-05,0.0028457037189233985,RELIANCE,Feb-2025,220,440,800,1600
