symbol,period,mult,sharpe,expectancy,trades,win_rate
ICICIBANK,40,4.0,-0.009540,-0.623097,42,33.33
ICICIBANK,20,5.0,-0.012648,-1.135854,32,31.25
ICICIBANK,30,6.0,-0.013308,-1.477669,24,29.17
INFY,20,5.0,-0.011519,-1.915251,34,32.35
INFY,40,6.0,-0.014042,-2.881015,27,29.63
INFY,60,4.0,-0.017602,-1.814979,54,33.33
RELIANCE,40,6.0,0.003317,0.492662,24,45.83
RELIANCE,60,5.0,-0.000663,-0.067171,35,42.86
RELIANCE,60,4.0,-0.005672,-0.386514,52,38.46
