fast,slow,sharpe,max_dd,trades,win%
240,280,0.0049,1.1231,94,48.9
760,2520,0.0043,1.4147,17,47.1
200,560,0.0039,1.1751,66,43.9
240,320,0.0038,1.034,88,44.3
200,520,0.0031,1.3122,68,42.6
440,640,0.003,1.9283,44,43.2
200,320,0.0029,0.986,97,45.4
240,520,0.0024,1.0361,61,47.5
640,2480,0.0023,1.2846,19,47.4
400,680,0.0023,1.9217,45,40.0
240,560,0.0022,1.2531,59,45.8
200,280,0.0022,1.067,101,46.5
720,2520,0.0022,1.4267,19,42.1
440,680,0.0021,1.9362,43,44.2
440,600,0.0021,1.9065,46,41.3
360,640,0.0021,1.8748,46,47.8
640,2400,0.002,1.2871,19,47.4
320,680,0.0019,1.8556,49,44.9
360,680,0.0019,1.875,46,43.5
280,320,0.0018,1.0765,83,42.2
760,2480,0.0018,1.4264,17,35.3
200,600,0.0017,1.3449,65,44.6
400,600,0.0017,1.8888,48,39.6
720,2480,0.0017,1.4986,18,38.9
400,640,0.0016,1.9195,45,40.0
720,1640,0.0016,1.0427,19,42.1
640,2440,0.0016,1.335,19,47.4
360,600,0.0016,1.8648,51,43.1
720,1560,0.0014,1.136,23,43.5
400,720,0.0013,1.9195,44,43.2
600,2480,0.0013,1.2705,20,45.0
480,600,0.0013,1.2673,45,40.0
480,640,0.0013,1.9437,43,41.9
280,360,0.0011,1.4521,77,41.6
720,1600,0.0011,1.2097,21,42.9
320,760,0.001,1.8696,49,42.9
680,1600,0.001,1.1873,23,43.5
520,560,0.001,1.2906,45,42.2
360,760,0.0009,1.9094,47,40.4
680,2520,0.0009,1.6422,18,38.9
680,2480,0.0009,1.5464,18,38.9
680,1560,0.0009,1.1782,23,43.5
520,640,0.0009,1.9363,43,41.9
680,1640,0.0009,1.0762,23,39.1
240,440,0.0008,1.9633,68,41.2
600,2440,0.0008,1.3339,20,45.0
480,680,0.0008,1.9628,43,41.9
200,440,0.0007,1.8146,73,43.8
680,1760,0.0007,1.1068,20,40.0
