symbol,open,close,move
NIFTY BANK,57316.6,57071.95,-244.65000000000146
BOSCHLTD,37980.0,38090.0,110.0
SHREECEM,32115.0,32030.0,-85.0
INDIGO,5840.0,5915.0,75.0
ULTRACEMCO,12372.0,12305.0,-67.0
APOLLOHOSP,7373.0,7432.5,59.5
NIFTY 50,25243.3,25188.65,-54.64999999999782
MARUTI,12648.0,12597.0,-51.0
EICHERMOT,5440.0,5486.0,46.0
LTIM,5302.0,5258.0,-44.0
TRENT,5315.0,5282.0,-33.0
BAJAJ-AUTO,8409.5,8385.0,-24.5
DRREDDY,1261.1,1284.0,22.90000000000009
BRITANNIA,5724.5,5702.0,-22.5
INFY,1580.0,1558.8,-21.200000000000045
TECHM,1554.0,1535.9,-18.09999999999991
M&M,3255.0,3272.8,17.800000000000182
HDFCBANK,2037.7,2020.2,-17.5
ICICIGI,1940.0,1923.6,-16.40000000000009
ABB,5711.0,5695.0,-16.0
SIEMENS,3143.0,3127.4,-15.599999999999909
LODHA,1336.0,1321.4,-14.599999999999909
KOTAKBANK,2165.4,2150.9,-14.5
HEROMOTOCO,4310.0,4296.1,-13.899999999999636
BHARTIARTL,1943.8,1955.9,12.100000000000136
TORNTPHARM,3560.0,3548.0,-12.0
SUNPHARMA,1682.5,1694.0,11.5
NESTLEIND,2452.8,2463.7,10.899999999999636
HAL,4715.8,4725.1,9.300000000000182
HAVELLS,1572.7,1563.8,-8.900000000000091
UNITDSPR,1349.0,1340.4,-8.599999999999909
TATACONSUM,1084.0,1075.7,-8.299999999999955
TATAMOTORS,692.7,700.7,8.0
PIDILITIND,2930.8,2938.3,7.5
BAJFINANCE,970.0,962.7,-7.2999999999999545
TCS,3165.1,3158.1,-7.0
DIVISLAB,6653.0,6646.0,-7.0
ASIANPAINT,2375.4,2368.6,-6.800000000000182
ADANIENT,2615.4,2621.7,6.299999999999727
CIPLA,1470.5,1476.6,6.099999999999909
ADANIENSOL,868.0,862.4,-5.600000000000023
INDUSINDBK,855.25,850.4,-4.850000000000023
SBILIFE,1808.0,1803.5,-4.5
HINDUNILVR,2455.9,2451.5,-4.400000000000091
ICICIBANK,1487.7,1483.3,-4.400000000000091
RECLTD,400.0,404.3,4.300000000000011
BAJAJFINSV,2060.5,2056.3,-4.199999999999818
DLF,842.45,838.3,-4.150000000000091
DABUR,516.9,513.0,-3.8999999999999773
SHRIRAMFIN,660.0,656.5,-3.5
AXISBANK,1104.0,1100.7,-3.2999999999999545
DMART,4045.5,4048.5,3.0
ETERNAL,302.25,305.2,2.9499999999999886
ADANIGREEN,1035.0,1032.1,-2.900000000000091
ADANIPORTS,1423.2,1420.5,-2.7000000000000455
ICICIPRULI,628.9,631.35,2.4500000000000455
JINDALSTEL,980.0,982.35,2.3500000000000227
MOTHERSON,99.11,101.25,2.1400000000000006
IRFC,135.05,137.16,2.109999999999985
CHOLAFIN,1558.0,1560.1,2.099999999999909
LT,3484.9,3487.0,2.099999999999909
JSWSTEEL,1039.0,1041.1,2.099999999999909
GODREJCP,1233.7,1231.7,-2.0
LICI,922.0,923.95,1.9500000000000455
NTPC,343.6,341.7,-1.900000000000034
VBL,487.75,485.9,-1.8500000000000227
HDFCLIFE,762.0,763.75,1.75
JIOFIN,315.0,316.65,1.6499999999999773
BEL,400.7,399.05,-1.6499999999999773
CGPOWER,683.1,684.7,1.6000000000000227
PFC,419.15,420.7,1.5500000000000114
HINDALCO,697.0,698.5,1.5
AMBUJACEM,620.4,621.85,1.4500000000000455
INDHOTEL,754.4,755.8,1.3999999999999773
ITC,415.85,414.5,-1.3500000000000227
GAIL,186.58,187.92,1.339999999999975
TITAN,3467.4,3468.7,1.2999999999997272
JSWENERGY,535.0,533.75,-1.25
RELIANCE,1419.2,1418.2,-1.0
GRASIM,2709.1,2710.0,0.900000000000091
TVSMOTOR,2818.8,2817.9,-0.900000000000091
TATASTEEL,163.0,163.8,0.8000000000000114
COALINDIA,390.1,389.45,-0.6500000000000341
BPCL,344.45,343.8,-0.6499999999999773
HCLTECH,1530.0,1529.5,-0.5
SBIN,820.0,819.55,-0.4500000000000455
VEDL,455.0,455.45,0.44999999999998863
PNB,110.34,109.93,-0.4099999999999966
CANBK,108.5,108.88,0.37999999999999545
WIPRO,262.0,261.65,-0.35000000000002274
BANKBARODA,243.07,242.79,-0.28000000000000114
ONGC,245.56,245.81,0.25
TATAPOWER,402.3,402.05,-0.25
IOC,152.02,152.15,0.12999999999999545
POWERGRID,299.85,299.75,-0.10000000000002274
NAUKRI,1468.1,1468.0,-0.09999999999990905
