dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,symbol,period_label,fast,slow,atr_mult
2025-01-01 09:22:00,2025-01-01 09:35:00,1215.3,1216.9,-390.84999588578955,SELL,-625.3599934173166,-815.485065416,13,1,1.0894143762732247,RELIANCE,Jan-2025,60,90,0.0
2025-01-01 09:48:00,2025-01-01 10:19:00,1214.1,1215.7,-390.598211998892,SELL,-624.9571391982805,-814.7722463012622,31,2,0.9932049110240475,RELIANCE,Jan-2025,60,90,0.0
2025-01-01 11:14:00,2025-01-01 12:09:00,1220.5,1220.5,-387.91581774180133,SELL,0.0,-189.38050222154743,55,3,0.8437769395366729,RELIANCE,Jan-2025,60,90,0.0
2025-01-01 12:52:00,2025-01-01 13:36:00,1224.55,1221.8,-386.48592877118784,SELL,1062.8363041207665,873.7403337508874,44,4,0.9308244542730492,RELIANCE,Jan-2025,60,90,0.0
2025-01-01 14:24:00,2025-01-01 15:23:00,1222.7,1221.6,-387.7495684908984,SELL,426.5245253400411,236.9692712875805,59,5,0.7548885486083712,RELIANCE,Jan-2025,60,90,0.0
2025-01-02 09:46:00,2025-01-02 10:41:00,1225.1,1223.05,-387.17371496330475,SELL,793.7061156747571,604.1342496172742,55,6,1.1285189393195982,RELIANCE,Jan-2025,60,90,0.0
2025-01-02 12:03:00,2025-01-02 12:35:00,1228.8,1231.35,-386.47497211806734,SELL,-985.5111789010541,-1175.6684594323067,32,7,1.097255403876682,RELIANCE,Jan-2025,60,90,0.0
2025-01-02 13:04:00,2025-01-02 13:22:00,1232.35,1236.25,-384.45535821984055,SELL,-1499.375897057413,-1689.1891965177128,18,8,1.1754264764399993,RELIANCE,Jan-2025,60,90,0.0
2025-01-02 13:58:00,2025-01-02 14:41:00,1238.5,1239.75,-381.2505700165754,SELL,-476.5632125207193,-665.5300575494349,43,9,0.9292461656692489,RELIANCE,Jan-2025,60,90,0.0
2025-01-02 15:19:00,2025-01-03 09:45:00,1241.45,1240.15,-379.83533562435593,SELL,493.78593631164546,305.2660625345651,41,10,0.8708162468455879,RELIANCE,Jan-2025,60,90,0.0
2025-01-03 11:01:00,2025-01-03 11:05:00,1243.3,1245.05,-379.5034023729306,SELL,-664.1309541526286,-852.998412411565,4,11,1.0663435054076507,RELIANCE,Jan-2025,60,90,0.0
2025-01-03 12:07:00,2025-01-03 13:09:00,1256.5,1259.0,-374.8716527484868,SELL,-937.1791318712169,-1125.7770603689805,62,12,1.1872716582912726,RELIANCE,Jan-2025,60,90,0.0
2025-01-03 13:46:00,2025-01-03 14:39:00,1260.05,1253.7,-372.96674216985286,SELL,2368.338812778532,2180.8297831526384,53,13,1.0002774322810806,RELIANCE,Jan-2025,60,90,0.0
2025-01-03 15:12:00,2025-01-06 09:22:00,1251.45,1251.45,-377.18529047514335,SELL,0.0,-188.81141270604726,25,14,1.1560066364743589,RELIANCE,Jan-2025,60,90,0.0
2025-01-06 09:48:00,2025-01-06 10:15:00,1245.85,1252.0,-378.7367346976341,SELL,-2329.2309183904845,-2518.4364289433815,27,15,2.014161398767538,RELIANCE,Jan-2025,60,90,0.0
2025-01-06 10:42:00,2025-01-06 11:27:00,1247.7,1236.8,-376.2576310936532,SELL,4101.208178920854,3914.245762030418,45,16,1.3187297872614687,RELIANCE,Jan-2025,60,90,0.0
2025-01-06 11:56:00,2025-01-06 12:20:00,1226.6,1230.45,-385.761601002348,SELL,-1485.1821638590925,-1674.7492722076563,24,17,1.78520738685353,RELIANCE,Jan-2025,60,90,0.0
2025-01-06 13:05:00,2025-01-06 13:48:00,1231.8,1228.9,-382.8415067225871,SELL,1110.2403694954503,921.8287503769963,43,18,1.1764948260216312,RELIANCE,Jan-2025,60,90,0.0
2025-01-06 14:36:00,2025-01-06 15:11:00,1223.3,1220.0,-386.21753069054273,SELL,1274.5178512787734,1085.7887927315328,35,19,1.240558610517931,RELIANCE,Jan-2025,60,90,0.0
2025-01-07 09:55:00,2025-01-07 10:25:00,1232.1,1237.95,-384.29624595961036,SELL,-2248.133038863773,-2437.97922733028,30,20,1.6785896148243853,RELIANCE,Jan-2025,60,90,0.0
2025-01-07 10:52:00,2025-01-07 11:29:00,1239.2,1239.55,-380.22540702136223,SELL,-133.0788924574422,-321.57563798828255,37,21,0.9996435854699588,RELIANCE,Jan-2025,60,90,0.0
2025-01-07 12:04:00,2025-01-07 12:39:00,1238.45,1240.3,-380.20899311622054,SELL,-703.3866372649734,-891.8752456023398,35,22,0.6943688379583356,RELIANCE,Jan-2025,60,90,0.0
2025-01-07 13:16:00,2025-01-07 13:40:00,1240.55,1241.9,-378.88238768406035,SELL,-511.49122337353316,-699.6025400347924,24,23,0.5850430657517417,RELIANCE,Jan-2025,60,90,0.0
2025-01-07 13:56:00,2025-01-07 14:32:00,1240.75,1237.05,-378.2856527329664,SELL,1399.656915111993,1212.1936770436441,36,24,0.7197462207984121,RELIANCE,Jan-2025,60,90,0.0
2025-01-08 09:52:00,2025-01-08 10:17:00,1255.1,1268.6,-374.87810343527974,SELL,-5060.854396376277,-5250.0703703042,25,25,1.8881920422062501,RELIANCE,Jan-2025,60,90,0.0
2025-01-08 10:35:00,2025-01-08 11:13:00,1267.6,1264.35,-367.24671881495,SELL,1193.5518361485874,1007.5817702078849,38,26,1.480529724533897,RELIANCE,Jan-2025,60,90,0.0
2025-01-08 11:30:00,2025-01-08 11:39:00,1261.1,1262.9,-369.89861505949415,SELL,-665.8175071071568,-852.5423279891894,9,27,1.0178722600891021,RELIANCE,Jan-2025,60,90,0.0
2025-01-08 12:09:00,2025-01-08 12:41:00,1261.8,1261.55,-369.0515360912493,SELL,92.26288402281233,-93.98635469635849,32,28,0.8761684867731144,RELIANCE,Jan-2025,60,90,0.0
2025-01-08 13:25:00,2025-01-08 13:55:00,1265.1,1269.0,-368.0182919950808,SELL,-1435.2713387808485,-1621.7903695297955,30,29,1.0278235302242336,RELIANCE,Jan-2025,60,90,0.0
2025-01-08 14:23:00,2025-01-08 14:58:00,1268.8,1266.6,-365.7308010339875,SELL,804.6077622747891,619.1529876864747,35,30,0.9591112792451919,RELIANCE,Jan-2025,60,90,0.0
2025-01-08 15:22:00,2025-01-09 09:38:00,1265.45,1268.0,-367.1638039355371,SELL,-936.2677000356028,-1122.3059278517,31,31,0.863209835273086,RELIANCE,Jan-2025,60,90,0.0
2025-01-09 10:07:00,2025-01-09 10:29:00,1263.95,1265.15,-366.7559990970894,SELL,-440.10719891652394,-625.6197183798138,22,32,1.0653797900024613,RELIANCE,Jan-2025,60,90,0.0
2025-01-09 10:30:00,2025-01-09 11:11:00,1262.65,1256.15,-366.66289654797873,SELL,2383.3088275618616,2198.5987267968517,41,33,1.1169347411505528,RELIANCE,Jan-2025,60,90,0.0
2025-01-09 11:52:00,2025-01-09 12:20:00,1259.4,1262.7,-369.2675679821837,SELL,-1218.5829743411896,-1404.8489209827626,28,34,0.8751572799336877,RELIANCE,Jan-2025,60,90,0.0
2025-01-09 12:26:00,2025-01-09 13:19:00,1260.9,1253.95,-367.76982206505556,SELL,2556.000263352153,2371.023075948092,53,35,1.0096894195373025,RELIANCE,Jan-2025,60,90,0.0
