fast,mid1,mid2,mid3,sharpe,expectancy,trades,win_rate
50,150,300,600,-0.012448,-2.127281,205,29.27
70,210,420,840,-0.010596,-2.471908,157,28.03
100,300,600,1200,-0.011634,-3.580669,117,26.50
