symbol,avg_range,avg_volume,today_range,today_volume,range_dev,vol_dev,score,direction
LODHA,17.87,99849,52.6,13164201,1.9435,130.8411,40.6128,SELL
IRFC,1.32,1213011,3.76,15745125,1.8388,11.9802,4.8812,BUY
TATAMOTORS,5.81,841546,16.85,3379173,1.9014,3.0154,2.2356,BUY
ETERNAL,3.43,3117348,7.25,13300873,1.1119,3.2667,1.7583,BUY
HAVELLS,15.49,81518,27.8,237928,0.7953,1.9187,1.1323,SELL
DLF,7.19,292792,15.0,390841,1.087,0.3349,0.8613,SELL
MARUTI,91.45,18466,143.0,45296,0.5637,1.453,0.8305,BUY
ADANIGREEN,11.38,254843,21.0,455893,0.8453,0.7889,0.8284,BUY
SHREECEM,279.5,2048,535.0,3178,0.9141,0.5519,0.8055,SELL
ITC,1.74,470656,2.9,953055,0.6619,1.025,0.7708,SELL
ADANIENT,19.4,64501,32.4,67929,0.6705,0.0531,0.4853,BUY
SBIN,5.09,1183713,5.8,2514900,0.1395,1.1246,0.435,BUY
BRITANNIA,49.33,13464,49.0,32964,-0.0066,1.4482,0.4299,SELL
NESTLEIND,18.42,45264,30.2,35905,0.6395,-0.2068,0.3856,SELL
BAJAJ-AUTO,65.0,22736,98.5,21371,0.5154,-0.06,0.3428,BUY
TATACONSUM,10.95,56193,14.1,51945,0.2877,-0.0756,0.1787,SELL
PIDILITIND,19.78,15490,24.7,14776,0.2487,-0.0461,0.1603,SELL
AMBUJACEM,4.84,147531,6.35,102023,0.3133,-0.3085,0.1268,SELL
BAJFINANCE,11.36,685271,11.85,877565,0.0434,0.2806,0.1145,BUY
BHARTIARTL,15.1,459719,16.3,524653,0.0798,0.1412,0.0983,SELL
ICICIBANK,9.41,685192,11.4,547660,0.2121,-0.2007,0.0883,SELL
ASIANPAINT,21.01,121680,28.3,56511,0.347,-0.5356,0.0822,SELL
NTPC,2.19,552437,2.25,618695,0.0274,0.1199,0.0552,BUY
HAL,45.27,154467,58.3,78652,0.288,-0.4908,0.0543,SELL
CANBK,1.27,2185654,0.85,4260055,-0.3325,0.9491,0.0519,SELL
RELIANCE,10.82,775196,10.4,896701,-0.0388,0.1567,0.0199,SELL
ADANIPORTS,10.04,101175,11.4,74465,0.1355,-0.264,0.0156,BUY
CHOLAFIN,20.75,150097,19.8,171352,-0.0456,0.1416,0.0106,BUY
COALINDIA,2.35,349225,2.6,254365,0.1064,-0.2716,-0.007,BUY
