dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,atr_pct,mae_abs,mae_pct,mfe_abs,mfe_pct,ret_pct,symbol,period,mult,period_label
2025-01-01 10:51:00,2025-01-03 15:09:00,1220.6,1249.35,389.15287563493365,BUY,11188.145174504343,10995.907545469443,1008,1,1.0422614551847318,0.0008538927209443977,4.0,8.421052631578947e-06,41.450000000000045,8.726315789473694e-05,0.023149279043093565,RELIANCE,60,12.0,Jan-2025
2025-01-07 09:31:00,2025-01-09 10:41:00,1230.85,1257.0,394.3990836967916,BUY,10313.536038671136,10117.294886596124,820,2,2.1150439145076665,0.0017183604131353672,2.099999999999909,4.325917846206393e-06,40.200000000000045,8.281042734166892e-05,0.02084123166917179,RELIANCE,60,12.0,Jan-2025
2025-01-10 11:16:00,2025-01-10 14:15:00,1254.0,1243.25,394.78272911520116,BUY,-4243.914337988413,-4441.088572045,179,3,0.9178196269637455,0.0007319135781210092,10.849999999999909,2.191664417304366e-05,0.75,1.5149754036666252e-06,-0.00897085326953748,RELIANCE,60,12.0,Jan-2025
2025-01-13 13:09:00,2025-01-13 14:39:00,1242.2,1233.7,395.13645803173364,BUY,-3358.659893269736,-3554.32356455789,90,4,0.7836937478041929,0.0006308917628434977,8.700000000000045,1.7724770683720812e-05,3.0499999999999545,6.213856389120389e-06,-0.00724132989856706,RELIANCE,60,12.0,Jan-2025
2025-01-14 09:16:00,2025-01-14 10:17:00,1250.9,1236.75,389.6889445844508,BUY,-5514.098565870014,-5707.980506469115,61,5,1.8822657515143075,0.0015047291961901889,14.800000000000182,3.03613471664091e-05,2.449999999999818,5.026033821465936e-06,-0.011709593092973132,RELIANCE,60,12.0,Jan-2025
2025-01-14 15:16:00,2025-01-17 09:40:00,1239.45,1292.0,388.91388865992485,BUY,20437.424849079034,20240.5216363894,789,6,1.0491117461378718,0.0008464332939109054,2.3500000000001364,4.8751209826927495e-06,86.54999999999995,0.0001795496685327799,0.04198935818306503,RELIANCE,60,12.0,Jan-2025
2025-01-17 12:39:00,2025-01-21 09:33:00,1305.0,1300.3,384.11326808744354,BUY,-1805.332360011002,-2005.4784194806455,564,7,1.191607307398596,0.0009131090478150161,8.25,1.6458267926898584e-05,8.900000000000091,1.7754979945381686e-05,-0.004000812260536433,RELIANCE,60,12.0,Jan-2025
2025-01-21 11:48:00,2025-01-21 14:39:00,1297.75,1277.9,384.79106943217664,BUY,-7638.102728228671,-7836.320151825268,171,8,1.915199282784354,0.0014757844598608006,20.59999999999991,4.125258794472055e-05,1.2000000000000455,2.4030633754207163e-06,-0.01569264496243491,RELIANCE,60,12.0,Jan-2025
2025-01-24 09:17:00,2025-01-24 10:00:00,1270.1,1260.9,387.30659492274094,BUY,-3563.2206732891464,-3759.275271639038,43,9,1.3216542628227812,0.0010405907116154485,9.199999999999818,1.870230000447809e-05,2.900000000000091,5.895290218803177e-06,-0.007642075427131579,RELIANCE,60,12.0,Jan-2025
2025-01-27 14:02:00,2025-01-28 09:32:00,1235.15,1223.25,395.3744846401782,BUY,-4704.956367218157,-4899.354093826039,105,10,1.0990894262226865,0.0008898428743251317,13.0,2.6620426592331483e-05,2.849999999999909,5.83601659908787e-06,-0.010032530461887294,RELIANCE,60,12.0,Jan-2025
