dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,atr_pct,mae_abs,mfe_abs,exit_type,symbol,ignore_before,fast,mid1,mid2,mid3,adx_period,adx_threshold,atr_period,atr_mult,sl_mode,sl_value,use_sl_tg,use_trailing,trail_atr_mult,use_signal_exit,reentry_cooldown,tg_mode,tg1,tg2,tg3,atr_mean
2025-07-23T09:32:00,,1348.0,1332.0,-1.0,SELL,16.0,0.0,357,0,5.935964992763013,0.004403534861100158,15.700000000000045,17.90000000000009,OPEN,LODHA,2025-07-23 09:30:00,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,OFF,0.0,0.0,0.0,1.4424248662000914
2025-07-23T12:58:00,,134.43,135.23,1.0,BUY,0.799999999999983,0.0,151,0,0.19215119233263267,0.0014293773140863844,0.2600000000000193,1.009999999999991,OPEN,IRFC,2025-07-23 09:30:00,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,OFF,0.0,0.0,0.0,0.14640386990531015
2025-07-23T14:55:00,,689.8,690.65,1.0,BUY,0.8500000000000227,0.0,34,0,0.4962609562324078,0.0007194273068025628,0.5499999999999545,1.5500000000000682,OPEN,TATAMOTORS,2025-07-23 09:30:00,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,OFF,0.0,0.0,0.0,0.5316488266776487
2025-07-23T09:31:00,,833.5,840.9,-1.0,SELL,-7.399999999999977,0.0,358,0,1.7600718831593805,0.0021116639270058555,9.899999999999977,5.2000000000000455,OPEN,DLF,2025-07-23 09:30:00,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,OFF,0.0,0.0,0.0,0.5939275421984405
2025-07-23T09:32:00,2025-07-23T10:52:00,12706.0,12706.0,1.0,BUY,-63.530000000000655,-68.59969400000065,80,0,18.84184427568149,0.0014829091984638351,61.0,13.0,STOPLOSS,MARUTI,2025-07-23 09:30:00,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,OFF,0.0,0.0,0.0,6.726636475916015
2025-07-23T14:57:00,,32055.0,32095.0,1.0,BUY,40.0,0.0,32,0,33.22925453189503,0.00103663249202605,15.0,130.0,OPEN,SHREECEM,2025-07-23 09:30:00,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,OFF,0.0,0.0,0.0,26.69308357348703
2025-07-23T09:33:00,,415.3,415.0,-1.0,SELL,0.30000000000001137,0.0,356,0,0.38033203545961536,0.0009158007114365888,0.14999999999997726,1.3000000000000114,OPEN,ITC,2025-07-23 09:30:00,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,OFF,0.0,0.0,0.0,0.17389872375462764
