symbol,fast,mid1,mid2,mid3,sharpe,expectancy,trades,win_rate
ICICIBANK,180,240,360,720,0.010771,1.632809,116,43.97
ICICIBANK,180,240,360,480,-0.001087,-0.212768,158,35.44
INFY,150,240,360,480,-0.000921,-0.178921,172,40.70
INFY,150,240,360,720,-0.006214,-1.813606,131,34.35
RELIANCE,180,240,360,720,-0.002260,-0.520096,117,36.75
RELIANCE,180,240,360,480,-0.002275,-0.384353,152,40.13
