vol_bin,trades,win_rate,expectancy,avg_win,avg_loss
LOW,72,25.0,-2.1319444444444633,16.519444444444428,-8.349074074074094
MID,71,46.478873239436616,7.854929577464809,27.121212121212128,-8.876315789473653
HIGH,74,51.35135135135135,11.057432432432405,33.89342105263156,-13.047222222222254
