period,mult,mean_sharpe,std_sharpe,mean_exp,trades_total
60,12.0,-8892.431452562498,1742.7087009824347,4.971429379406293,61
60,12.8,-9180.887077212416,1792.368265754175,8.281038865079365,51
60,14.4,-9232.34372271539,1755.8898201498193,6.848378738095231,39
60,16.4,-9749.107530801799,2051.762206374384,6.763495629251679,33
60,16.6,-9751.641380161594,2047.6881025970924,6.636608010204071,33
