fast,slow,sharpe,max_dd,trades,win%
200,660,-0.0029,1.8895,62,40.3
800,2640,-0.005,1.8501,12,25.0
400,1320,-0.0074,2.1268,36,33.3
1000,3300,-0.0083,2.3754,11,27.3
600,1980,-0.0128,2.6973,24,16.7
