stage,fast,mid1,mid2,mid3,sharpe,expectancy,won,lost
stage1,60,120,,,-0.000573,-0.084828,121,169
stage1,60,240,,,-0.000573,-0.084828,121,169
stage1,60,360,,,-0.001358,-0.177336,119,170
stage1,60,480,,,-0.001169,-0.155208,119,169
stage1,60,600,,,-0.001078,-0.145280,118,168
stage1,60,720,,,-0.000193,-0.040317,118,166
stage1,60,840,,,-0.000375,-0.061837,117,166
stage1,60,960,,,-0.000167,-0.037544,117,164
stage1,60,1080,,,-0.001049,-0.140893,116,164
stage1,60,1200,,,-0.001477,-0.191577,114,165
stage1,60,1320,,,-0.001263,-0.166906,115,163
stage1,60,1440,,,-0.001509,-0.198000,113,162
stage1,60,1560,,,0.005671,0.545238,113,160
stage1,60,1680,,,0.005824,0.561029,112,160
stage1,60,1800,,,0.005029,0.483395,112,159
stage1,60,1920,,,0.004020,0.374444,111,159
stage1,120,120,,,0.000798,0.139017,73,100
stage1,120,240,,,0.000798,0.139017,73,100
stage1,120,360,,,0.000798,0.139017,73,100
stage1,120,480,,,0.000798,0.139017,73,100
stage1,120,600,,,0.001029,0.188596,72,99
stage1,120,720,,,0.000051,-0.014912,72,99
stage1,120,840,,,-0.000395,-0.107353,71,99
stage1,120,960,,,-0.000444,-0.117647,71,99
stage1,120,1080,,,0.000470,0.071302,71,98
stage1,120,1200,,,0.000449,0.067262,70,98
stage1,120,1320,,,0.000761,0.132335,70,97
stage1,120,1440,,,-0.003839,-0.708084,69,98
stage1,120,1560,,,-0.001545,-0.295482,69,97
stage1,120,1680,,,-0.001252,-0.243072,69,97
stage1,120,1800,,,-0.001910,-0.359036,69,97
stage1,120,1920,,,-0.002842,-0.515455,68,97
stage1,180,120,,,-0.003697,-1.217073,44,79
stage1,180,240,,,-0.003697,-1.217073,44,79
stage1,180,360,,,-0.003697,-1.217073,44,79
stage1,180,480,,,-0.003697,-1.217073,44,79
stage1,180,600,,,-0.003697,-1.217073,44,79
stage1,180,720,,,-0.003697,-1.217073,44,79
stage1,180,840,,,-0.004026,-1.311382,44,79
stage1,180,960,,,-0.004222,-1.378689,43,79
stage1,180,1080,,,-0.003475,-1.147131,44,78
stage1,180,1200,,,-0.003691,-1.227083,42,78
stage1,180,1320,,,-0.003706,-1.231250,42,78
stage1,180,1440,,,0.000293,-0.072689,42,77
stage1,180,1560,,,0.002729,0.531092,42,77
stage1,180,1680,,,0.003148,0.638559,42,76
stage1,180,1800,,,0.002434,0.459746,42,76
stage1,180,1920,,,0.001490,0.216949,42,76
stage1,240,120,,,-0.006121,-2.285784,36,66
stage1,240,240,,,-0.006121,-2.285784,36,66
stage1,240,360,,,-0.006121,-2.285784,36,66
stage1,240,480,,,-0.006121,-2.285784,36,66
stage1,240,600,,,-0.006121,-2.285784,36,66
stage1,240,720,,,-0.006121,-2.285784,36,66
stage1,240,840,,,-0.006121,-2.285784,36,66
stage1,240,960,,,-0.006121,-2.285784,36,66
