fast,mid1,mid2,mid3,sharpe,trades,win_rate
240,300,840,960,0.001760,99,37.4
240,300,480,720,0.001247,112,42.0
240,300,480,840,0.000951,107,40.2
240,300,480,600,0.000224,130,42.3
