stage,fast,mid1,mid2,mid3,sharpe,expectancy,won,lost
stage1,720,1600,,,-0.003837,-3.820000,11,19
stage1,720,1760,,,-0.003837,-3.820000,11,19
stage1,720,1920,,,-0.003837,-3.820000,11,19
stage1,800,160,,,-0.009726,-10.157143,6,22
stage1,800,320,,,-0.009726,-10.157143,6,22
stage1,800,480,,,-0.009726,-10.157143,6,22
stage1,800,640,,,-0.009726,-10.157143,6,22
stage1,800,800,,,-0.009726,-10.157143,6,22
stage1,800,960,,,-0.009726,-10.157143,6,22
stage1,800,1120,,,-0.009726,-10.157143,6,22
stage1,800,1280,,,-0.009726,-10.157143,6,22
stage1,800,1440,,,-0.009726,-10.157143,6,22
stage1,800,1600,,,-0.009726,-10.157143,6,22
stage1,800,1760,,,-0.009726,-10.157143,6,22
stage1,800,1920,,,-0.009726,-10.157143,6,22
stage1,880,160,,,-0.008671,-9.307407,7,20
stage1,880,320,,,-0.008671,-9.307407,7,20
stage1,880,480,,,-0.008671,-9.307407,7,20
stage1,880,640,,,-0.008671,-9.307407,7,20
stage1,880,800,,,-0.008671,-9.307407,7,20
stage1,880,960,,,-0.008671,-9.307407,7,20
stage1,880,1120,,,-0.008671,-9.307407,7,20
stage1,880,1280,,,-0.008671,-9.307407,7,20
stage1,880,1440,,,-0.008671,-9.307407,7,20
stage1,880,1600,,,-0.008671,-9.307407,7,20
stage1,880,1760,,,-0.008671,-9.307407,7,20
stage1,880,1920,,,-0.008671,-9.307407,7,20
stage1,960,160,,,-0.005003,-5.769565,8,15
stage1,960,320,,,-0.005003,-5.769565,8,15
stage1,960,480,,,-0.005003,-5.769565,8,15
stage1,960,640,,,-0.005003,-5.769565,8,15
stage1,960,800,,,-0.005003,-5.769565,8,15
stage1,960,960,,,-0.005003,-5.769565,8,15
stage1,960,1120,,,-0.005003,-5.769565,8,15
stage1,960,1280,,,-0.005003,-5.769565,8,15
stage1,960,1440,,,-0.005003,-5.769565,8,15
stage1,960,1600,,,-0.005003,-5.769565,8,15
stage1,960,1760,,,-0.005003,-5.769565,8,15
stage1,960,1920,,,-0.005003,-5.769565,8,15
stage2,160,1760,320,640,0.003714,0.637500,58,78
stage2,160,1760,320,800,-0.002143,-0.628400,40,85
stage2,160,1760,480,640,0.003015,0.497778,58,77
stage2,160,1760,480,800,-0.001059,-0.396311,40,82
stage2,160,1600,320,640,0.003666,0.629044,58,78
stage2,160,1600,320,800,-0.002090,-0.617200,40,85
