fast,mid1,mid2,mid3,sharpe,trades,win_rate
240,1600,1920,2240,0.002877,56,32.1
480,560,1440,1920,0.002468,44,36.4
480,560,1440,1760,0.002377,47,38.3
480,560,1280,1440,0.002184,54,38.9
