fast,mid1,mid2,mid3,sharpe,trades,win_rate
240,300,840,960,0.015282,91,44.0
240,300,720,840,0.014234,96,46.9
240,300,480,600,0.014167,110,50.0
240,300,480,720,0.013160,96,46.9
