datetime,close,supertrend
2025-07-14 09:15:00,12568.0,
2025-07-14 09:16:00,12585.0,
2025-07-14 09:17:00,12589.0,
2025-07-14 09:18:00,12600.0,
2025-07-14 09:19:00,12614.0,
2025-07-14 09:20:00,12600.0,
2025-07-14 09:21:00,12596.0,
2025-07-14 09:22:00,12605.0,
2025-07-14 09:23:00,12600.0,
2025-07-14 09:24:00,12599.0,
2025-07-14 09:25:00,12594.0,
2025-07-14 09:26:00,12590.0,
2025-07-14 09:27:00,12602.0,
2025-07-14 09:28:00,12598.0,
2025-07-14 09:29:00,12593.0,
2025-07-14 09:30:00,12595.0,
2025-07-14 09:31:00,12602.0,
2025-07-14 09:32:00,12572.0,
2025-07-14 09:33:00,12569.0,
2025-07-14 09:34:00,12564.0,
2025-07-14 09:35:00,12564.0,12524.1
2025-07-14 09:36:00,12565.0,12524.1
2025-07-14 09:37:00,12564.0,12524.1
2025-07-14 09:38:00,12571.0,12524.1
2025-07-14 09:39:00,12577.0,12524.1
2025-07-14 09:40:00,12588.0,12524.1
2025-07-14 09:41:00,12588.0,12524.1
2025-07-14 09:42:00,12588.0,12524.1
2025-07-14 09:43:00,12592.0,12524.1
2025-07-14 09:44:00,12581.0,12524.1
2025-07-14 09:45:00,12573.0,12524.1
2025-07-14 09:46:00,12565.0,12524.1
2025-07-14 09:47:00,12552.0,12524.1
2025-07-14 09:48:00,12555.0,12524.1
2025-07-14 09:49:00,12558.0,12524.1
2025-07-14 09:50:00,12561.0,12524.1
2025-07-14 09:51:00,12558.0,12524.1
2025-07-14 09:52:00,12561.0,12524.1
2025-07-14 09:53:00,12592.0,12524.1
2025-07-14 09:54:00,12594.0,12524.1
2025-07-14 09:55:00,12600.0,12524.1
2025-07-14 09:56:00,12595.0,12524.1
2025-07-14 09:57:00,12599.0,12524.1
2025-07-14 09:58:00,12602.0,12524.1
2025-07-14 09:59:00,12589.0,12524.1
2025-07-14 10:00:00,12585.0,12524.1
2025-07-14 10:01:00,12586.0,12524.1
2025-07-14 10:02:00,12582.0,12524.1
2025-07-14 10:03:00,12588.0,12524.1
2025-07-14 10:04:00,12585.0,12524.1
2025-07-14 10:05:00,12574.0,12524.1
2025-07-14 10:06:00,12590.0,12524.1
2025-07-14 10:07:00,12584.0,12524.1
2025-07-14 10:08:00,12587.0,12524.1
2025-07-14 10:09:00,12592.0,12524.1
2025-07-14 10:10:00,12590.0,12524.1
2025-07-14 10:11:00,12591.0,12524.1
2025-07-14 10:12:00,12595.0,12524.1
2025-07-14 10:13:00,12592.0,12524.1
2025-07-14 10:14:00,12593.0,12524.1
2025-07-14 10:15:00,12594.0,12524.1
2025-07-14 10:16:00,12591.0,12524.1
2025-07-14 10:17:00,12595.0,12524.1
2025-07-14 10:18:00,12585.0,12524.1
2025-07-14 10:19:00,12591.0,12524.1
2025-07-14 10:20:00,12581.0,12524.1
2025-07-14 10:21:00,12567.0,12524.1
2025-07-14 10:22:00,12556.0,12524.1
2025-07-14 10:23:00,12557.0,12524.1
2025-07-14 10:24:00,12551.0,12524.1
2025-07-14 10:25:00,12555.0,12524.1
2025-07-14 10:26:00,12554.0,12524.1
2025-07-14 10:27:00,12543.0,12524.1
2025-07-14 10:28:00,12535.0,12524.1
2025-07-14 10:29:00,12535.0,12524.1
2025-07-14 10:30:00,12528.0,12524.1
2025-07-14 10:31:00,12523.0,12524.1
2025-07-14 10:32:00,12522.0,12524.1
2025-07-14 10:33:00,12511.0,12524.1
2025-07-14 10:34:00,12500.0,12524.1
2025-07-14 10:35:00,12504.0,12524.1
2025-07-14 10:36:00,12506.0,12524.1
2025-07-14 10:37:00,12508.0,12524.1
2025-07-14 10:38:00,12503.0,12524.1
2025-07-14 10:39:00,12507.0,12524.1
2025-07-14 10:40:00,12496.0,12524.1
2025-07-14 10:41:00,12497.0,12524.1
2025-07-14 10:42:00,12492.0,12524.1
2025-07-14 10:43:00,12492.0,12524.1
2025-07-14 10:44:00,12493.0,12524.1
2025-07-14 10:45:00,12484.0,12524.1
2025-07-14 10:46:00,12480.0,12524.1
