fast,mid1,mid2,mid3,sharpe,trades,win_rate
450,500,1200,1800,0.004672,45,37.8
200,1700,2000,2200,0.002062,56,28.6
200,1700,2000,2400,0.001202,53,37.7
450,500,1200,2000,0.000657,44,36.4
