fast,mid1,mid2,mid3,sharpe,trades,win_rate
480,540,1440,1800,0.004437,43,37.2
240,1500,1560,2280,0.004038,51,33.3
240,1500,1560,1680,0.003592,62,27.4
240,1500,1560,1920,0.003367,57,28.1
